10001 | 3341 | 11398 | 1184 | 4608 | 29754 |
10002 | 7004 | 26670 | 7067 | 26066 | 77187 |
10003 | 8509 | 24461 | 1715 | 5196 | 62038 |
10004 | 566 | 1684 | 122 | 384 | 4171 |
10005 | 949 | 3600 | 162 | 810 | 8860 |
10006 | 551 | 1643 | 128 | 396 | 4164 |
10007 | 1109 | 3314 | 182 | 643 | 7998 |
10009 | 7965 | 24388 | 4724 | 15315 | 69406 |
10010 | 5092 | 14512 | 988 | 3439 | 37166 |
10011 | 8132 | 24803 | 1853 | 6130 | 62303 |
10012 | 3770 | 10456 | 826 | 2434 | 26483 |
10013 | 3583 | 12142 | 913 | 3447 | 28383 |
10014 | 5463 | 16591 | 713 | 2367 | 39446 |
10016 | 9041 | 23395 | 1933 | 6130 | 61318 |
10017 | 2699 | 7171 | 448 | 1503 | 18848 |
10018 | 801 | 3047 | 286 | 1291 | 8080 |
10019 | 6385 | 18828 | 1785 | 6792 | 50462 |
10020 | 15 | 43 | 5 | 12 | 101 |
10021 | 7772 | 21202 | 869 | 2839 | 54549 |
10022 | 5664 | 15583 | 689 | 2437 | 40501 |
10023 | 10130 | 31966 | 1713 | 6174 | 80395 |
10024 | 10438 | 30288 | 1989 | 6353 | 76423 |
10025 | 14514 | 42605 | 5444 | 17558 | 112851 |
10026 | 5976 | 18985 | 1553 | 6232 | 39124 |
10027 | 10059 | 29910 | 3158 | 11723 | 64740 |
10028 | 7701 | 22457 | 966 | 3137 | 56844 |
10029 | 8078 | 26214 | 9860 | 30125 | 81686 |
10030 | 5036 | 16182 | 1122 | 4565 | 29895 |
10031 | 6244 | 19962 | 4575 | 18307 | 58234 |
10032 | 5033 | 15802 | 5964 | 23876 | 59983 |
10033 | 3352 | 11352 | 5536 | 22462 | 55149 |
10034 | 3002 | 9288 | 4001 | 15933 | 39503 |
10035 | 5242 | 15294 | 3714 | 11454 | 38215 |
10036 | 3868 | 12628 | 1209 | 4913 | 32822 |
10037 | 4356 | 13392 | 781 | 3286 | 23036 |
10038 | 2749 | 9961 | 1324 | 4981 | 25599 |
10039 | 4374 | 14621 | 1037 | 4758 | 27331 |
10040 | 2791 | 8719 | 4103 | 16835 | 41630 |
10044 | 1108 | 3377 | 356 | 1287 | 9129 |
10065 | 4851 | 13800 | 617 | 2088 | 36217 |
10069 | 896 | 2975 | 154 | 717 | 7802 |
10075 | 4342 | 12836 | 515 | 1710 | 32599 |
10128 | 11013 | 30391 | 1919 | 6350 | 76910 |
10129 | 41 | 98 | 3 | 12 | 225 |
10162 | 311 | 747 | 23 | 88 | 2009 |
10280 | 1225 | 3749 | 237 | 881 | 9742 |
10282 | 911 | 2409 | 123 | 459 | 6063 |
10301 | 3948 | 14148 | 1465 | 6044 | 38539 |
10302 | 1325 | 5197 | 539 | 3245 | 15345 |
10303 | 1669 | 7761 | 965 | 5519 | 22479 |
10304 | 3143 | 12972 | 1379 | 7088 | 38866 |
10305 | 2271 | 8623 | 953 | 5511 | 36343 |
10306 | 3526 | 14126 | 872 | 5275 | 54443 |
10307 | 761 | 3771 | 121 | 798 | 13401 |
10308 | 1614 | 7140 | 331 | 2165 | 27698 |
10309 | 1604 | 7857 | 356 | 2309 | 31255 |
10310 | 1934 | 8116 | 716 | 3908 | 22898 |
10312 | 3295 | 15817 | 733 | 4685 | 60575 |
10314 | 5387 | 22908 | 1691 | 10017 | 81944 |
10451 | 3817 | 15259 | 4280 | 17669 | 45600 |
